job_id,product_family,machine_group,processing_time,arrival_time,due_time,energy_cost,priority,setup_time,reconfiguration_cost
1,CX,M2,1.74,0.07,7.42,4.43,3,0.55,0.41
2,AX,M4,1.81,0.43,6.5,4.2,3,0.57,0.83
3,EX,M1,2.27,1.03,9.68,4.11,4,0.21,0.34
4,AX,M5,1.49,2.25,6.14,7.7,3,0.25,0.75
5,AX,M5,0.77,2.56,8.23,6.66,2,0.37,0.65
6,CX,M2,2.9,3.61,9.23,7.65,3,0.53,0.93
7,CX,M5,3.44,3.79,10.82,8.87,1,0.32,0.24
8,AX,M5,2.26,5.1,10.43,8.46,3,0.37,0.66
9,AX,M3,1.97,6.1,9.87,8.5,3,0.6,1.02
10,CX,M6,1.72,7.1,10.43,6.89,1,0.11,0.26
11,CX,M2,2.74,7.7,16.52,7.13,1,0.27,0.48
12,BX,M4,3.11,8.12,14.81,6.2,4,0.58,0.35
13,BX,M2,1.27,8.47,13.66,7.75,2,0.05,0.62
14,CX,M5,2.24,9.9,17.09,7.25,3,0.42,0.25
15,EX,M4,1.75,10.49,16.15,6.48,2,0.59,0.64
16,AX,M3,2.34,10.64,17.31,7.4,5,0.39,0.27
17,BX,M5,1.69,11.59,19.56,7.84,3,0.11,0.69
18,DX,M4,2.0,11.72,15.73,6.1,2,0.51,0.36
19,AX,M2,3.36,12.51,18.1,7.44,1,0.34,1.18
20,AX,M6,3.05,13.29,22.38,6.18,2,0.35,0.7
21,BX,M5,2.95,14.77,23.48,9.2,4,0.46,0.43
22,EX,M4,1.63,14.81,18.08,5.67,2,0.43,1.16
23,DX,M6,3.47,16.24,23.03,5.28,2,0.16,0.4
24,EX,M5,3.04,16.96,24.76,9.16,1,0.41,1.11
25,BX,M4,3.18,17.61,25.47,4.38,5,0.45,0.66
26,AX,M6,1.06,19.1,21.8,7.76,3,0.41,0.81
27,EX,M4,2.51,19.63,26.38,4.68,1,0.58,0.85
28,EX,M6,3.31,20.28,29.45,9.34,2,0.19,0.49
29,BX,M5,1.55,21.1,28.32,4.21,4,0.54,0.86
30,EX,M4,3.0,22.42,27.57,4.82,3,0.53,0.98
31,EX,M1,2.85,22.64,27.7,7.95,1,0.08,0.88
32,EX,M5,2.0,23.8,31.72,4.18,2,0.07,0.3
33,DX,M5,0.68,25.14,27.64,5.98,5,0.38,0.4
34,CX,M4,2.07,26.35,32.46,5.46,3,0.53,1.13
35,EX,M2,3.04,26.56,31.71,6.76,1,0.18,0.27
36,CX,M1,3.2,26.79,35.07,8.22,1,0.54,1.17
37,BX,M6,3.36,27.39,34.69,10.43,4,0.14,0.63
38,EX,M4,1.58,27.68,32.35,8.64,1,0.35,0.64
39,AX,M4,1.56,28.62,34.24,4.23,5,0.48,1.17
40,AX,M1,1.37,28.68,35.44,5.61,1,0.28,1.11
41,CX,M4,1.03,30.06,35.44,8.49,1,0.08,0.89
42,DX,M1,1.38,30.09,33.41,5.55,3,0.17,0.46
43,AX,M4,0.63,31.58,35.8,9.93,3,0.07,0.91
44,AX,M2,1.36,31.85,39.37,8.01,3,0.16,0.65
45,BX,M3,1.61,31.88,36.24,3.9,4,0.35,0.39
46,DX,M2,3.31,32.04,40.94,6.7,3,0.51,0.59
47,EX,M3,2.59,33.51,39.31,9.38,4,0.4,0.6
48,CX,M1,3.03,33.53,41.19,9.7,3,0.08,0.87
49,DX,M5,2.54,33.95,39.2,5.76,3,0.14,0.65
50,CX,M3,3.39,35.41,43.04,5.44,5,0.22,0.56
51,AX,M3,1.71,36.12,41.84,5.15,3,0.05,0.46
52,AX,M2,1.76,36.18,39.55,5.84,2,0.37,0.73
53,BX,M6,3.19,37.36,45.03,8.92,4,0.32,0.48
54,EX,M6,1.02,38.6,44.7,7.24,3,0.44,0.71
55,EX,M5,2.25,39.82,43.65,8.4,4,0.44,1.16
56,BX,M1,0.69,40.02,44.01,4.5,4,0.36,0.83
57,EX,M6,1.31,40.42,45.51,4.27,5,0.54,0.29
58,EX,M1,2.76,41.13,49.44,9.47,2,0.47,0.43
59,DX,M4,3.05,41.25,50.35,5.73,1,0.4,0.4
60,EX,M2,1.56,42.23,48.75,7.96,1,0.32,0.69
61,AX,M6,1.23,42.96,49.23,5.71,3,0.47,1.19
62,EX,M2,1.5,43.09,48.45,5.74,1,0.33,1.19
63,CX,M4,1.21,44.51,48.27,7.7,1,0.34,1.15
64,BX,M5,2.98,45.27,54.18,8.51,2,0.54,0.69
65,AX,M2,0.61,46.01,50.37,5.82,1,0.24,0.52
66,CX,M1,1.54,46.52,51.55,10.1,2,0.06,0.94
67,CX,M3,0.79,47.11,53.75,4.31,5,0.47,1.05
68,CX,M1,0.75,48.1,53.52,4.8,5,0.29,0.52
69,CX,M4,3.16,49.32,57.13,9.92,5,0.35,0.92
70,AX,M6,1.79,50.24,54.22,9.63,3,0.55,0.75
71,BX,M4,1.8,50.66,55.24,8.75,3,0.27,0.44
72,DX,M5,2.54,50.84,58.1,4.3,3,0.5,0.75
73,DX,M3,3.49,51.51,57.2,5.09,1,0.24,0.29
74,BX,M3,1.35,52.36,59.65,8.82,3,0.28,0.72
75,DX,M3,1.58,52.45,56.92,10.28,1,0.33,0.83
76,BX,M1,1.39,52.82,57.71,6.79,5,0.52,1.07
77,AX,M2,0.69,53.88,60.55,6.97,3,0.05,0.59
78,EX,M4,3.42,54.25,59.72,4.83,3,0.43,1.14
79,DX,M1,2.2,54.31,61.92,5.36,5,0.41,0.5
80,BX,M6,1.33,55.26,61.58,4.55,1,0.34,0.78
81,DX,M3,1.25,56.16,58.96,5.82,3,0.58,0.84
82,BX,M4,2.13,56.98,60.76,6.56,3,0.08,0.39
83,DX,M1,1.35,57.98,65.46,5.32,1,0.24,0.62
84,DX,M2,0.62,58.42,64.77,4.25,3,0.16,0.97
85,BX,M2,1.95,58.82,66.72,4.53,3,0.39,1.1
86,DX,M4,3.24,58.9,66.61,9.98,1,0.06,0.8
87,DX,M1,2.66,59.18,65.59,8.57,2,0.11,0.28
88,BX,M3,1.15,60.16,65.43,6.93,2,0.45,1.04
89,CX,M4,1.09,60.16,64.15,6.15,5,0.12,1.16
90,BX,M4,1.63,61.39,68.63,6.7,1,0.31,0.57
91,DX,M2,1.54,62.5,67.91,8.03,2,0.39,0.6
92,DX,M1,1.95,63.71,67.47,5.11,1,0.38,0.56
93,CX,M5,0.73,64.83,70.51,9.99,2,0.45,0.8
94,AX,M1,3.0,64.99,73.07,6.92,4,0.48,1.11
95,DX,M2,3.29,65.26,74.06,8.75,4,0.48,0.81
96,CX,M3,1.94,66.44,72.86,7.23,2,0.14,0.61
97,AX,M4,2.2,66.93,75.53,9.72,5,0.2,0.28
98,AX,M4,2.05,67.99,73.77,5.37,3,0.39,0.87
99,EX,M6,2.8,69.16,74.93,5.67,2,0.19,0.46
100,DX,M2,1.14,69.51,73.56,9.88,2,0.09,0.45
101,BX,M5,2.13,70.48,74.61,6.91,1,0.05,1.08
102,BX,M4,3.25,70.54,76.76,4.6,2,0.59,0.78
103,AX,M3,2.09,70.81,77.42,8.99,3,0.05,0.84
104,EX,M3,1.23,71.36,74.8,5.17,2,0.38,0.85
105,BX,M1,2.97,71.97,78.3,7.96,1,0.07,0.7
106,DX,M1,1.78,73.16,79.76,4.84,3,0.41,0.6
107,CX,M4,3.47,74.16,81.22,4.14,4,0.54,0.61
108,AX,M3,2.47,74.75,80.74,10.11,3,0.14,0.31
109,AX,M4,2.28,75.3,82.95,4.67,1,0.13,1.01
110,DX,M1,2.26,76.69,84.14,4.95,2,0.14,0.37
111,AX,M1,1.71,77.82,84.99,9.19,2,0.51,0.24
112,DX,M3,0.75,79.21,83.4,9.86,3,0.5,0.36
113,BX,M5,1.77,80.48,87.9,5.03,2,0.27,0.72
